time,asset,AdrActCnt,CapMrktCurUSD,HashRate,NVTAdj,PriceUSD,SplyCur,TxCnt,TxTfrValAdjUSD,VelCur1yr
2021-02-17 00:00:00+00:00,eth,585027,211675637555.2495480642368945,386.37331265,24.062697538567,1845.23994155465,114714424.28073,1258503,8796837395.9728183581646977315,16.389500110179
2021-02-18 00:00:00+00:00,eth,602485,221701456777.9448653204318272,377.56549184,19.993159300452,1932.41152659264,114727869.15573,1298425,11088865618.7986420600614384768,16.434214442753
2021-02-19 00:00:00+00:00,eth,629683,225010994525.3327674117589114,390.9955527,24.857006519211,1961.02429018118,114741564.21823,1323618,9052216096.55344684644491353118,16.466406129898
2021-02-20 00:00:00+00:00,eth,644880,219503785857.7215929602649724,385.63647675,22.527141318412,1912.80253489188,114755068.46823,1337507,9743969851.97216260791501149604,16.510322520219
2021-02-21 00:00:00+00:00,eth,605781,221949106743.1092698808292199,376.44332108,34.009090852896,1933.88384745763,114768581.90573,1233518,6526169949.768229408135138266124,16.542319449301
2021-02-22 00:00:00+00:00,eth,623584,203303010201.5117344456383066,393.79219533,15.319237104732,1771.20859848042,114782081.78073,1312178,13271092340.40892328066618875902,16.629270410583
2021-02-23 00:00:00+00:00,eth,629862,179430822924.5456713270285074,389.5195393,10.398540353929,1563.04562419638,114795640.09323,1302882,17255385546.1796389642287552126,16.747061311872
2021-02-24 00:00:00+00:00,eth,626252,185596249566.6080060713956458,397.80849506,19.280786189284,1616.56383693746,114809106.40573,1285208,9625968969.55164384077545943734,16.79857836487
2021-02-25 00:00:00+00:00,eth,618961,171253830546.5685238425907788,396.04577815,22.205176833551,1491.46385715956,114822648.71823,1232758,7712338065.59069862787137544724,16.830709543683
2021-02-26 00:00:00+00:00,eth,606678,165628679949.2159404797464252,398.27026159,17.776317912989,1442.30312273524,114836248.59323,1236241,9317378365.9773965854797790504,16.880049725473
2021-02-27 00:00:00+00:00,eth,568481,166995249129.2652615080055111,400.64260867,29.858164513307,1454.03216890707,114849762.40573,1202432,5592950934.90549548724462442191,16.90666728307
2021-02-28 00:00:00+00:00,eth,582699,163724417567.5059663878112507,399.78778377,17.5368055823,1425.38586674459,114863225.03073,1179859,9336045655.4729297204413933934,16.984950966052
2021-03-01 00:00:00+00:00,eth,580615,179579378092.0386222443603228,402.19354337,21.100640168659,1563.23598036236,114876691.90573,1185925,8510612789.78505692841293381974,17.038590557102
2021-03-02 00:00:00+00:00,eth,597128,171172699837.7688785646659543,404.50981154,24.048834660657,1489.87889421391,114890344.78073,1240182,7117712864.39080920408874108851,17.085899568382
2021-03-03 00:00:00+00:00,eth,560868,182015174257.5840807083622584,390.21922623,30.168408939734,1584.06700526008,114903709.03073,1235048,6033303732.4303399242941315368,17.12009308734
2021-03-04 00:00:00+00:00,eth,599915,176745451097.5147358349490596,393.35136653,29.968320333222,1538.02277644652,114917317.09323,1234903,5897742987.6702895227682921454,17.150388028256
2021-03-05 00:00:00+00:00,eth,524802,175940831397.1763418212657595,406.7887091,29.630638405784,1530.84029181765,114930886.21823,1208640,5937800900.126110276374290768745,17.178850560571
2021-03-06 00:00:00+00:00,eth,541924,190789331553.2377865870896377,419.19281406,32.608678762976,1659.83834599649,114944525.78073,1160519,5850875864.67510195696575831443,17.196497334366
2021-03-07 00:00:00+00:00,eth,501185,197631272542.8827468648645505,413.71881057,18.499844368371,1719.16063705435,114958002.34323,1180104,10682861358.5942474863281775767,17.256211561739
2021-03-08 00:00:00+00:00,eth,535335,209952415372.8922709369709402,414.69534379,25.194581594097,1826.12504734074,114971543.53073,1216417,8333236834.62495342568210302912,17.286528273147
2021-03-09 00:00:00+00:00,eth,576354,214105373575.4189167656572846,408.20398785,27.349437222117,1862.02863687902,114985005.78073,1275347,7828511125.71624868454502878972,17.295009619103
2021-03-10 00:00:00+00:00,eth,584652,207391287846.739865671452419,413.19591931,29.116453333595,1803.4244905903,114998597.90573,1256065,7122821089.182801106278238091,17.311342175677
2021-03-11 00:00:00+00:00,eth,625273,210208905597.6068429323379032,410.04184477,29.146481864683,1827.71346113384,115011958.96823,1284767,7212153651.117702787939817033208,17.326289688324
2021-03-12 00:00:00+00:00,eth,593965,203422969374.5645440564516128,406.01973454,20.023915738869,1768.50364453536,115025473.65573,1325679,10159000468.60955549158075126752,17.277129948315
2021-03-13 00:00:00+00:00,eth,592726,221704120650.4172287789593819,416.56167914,38.07113762064,1927.20756627703,115039046.40573,1293352,5823417278.978917797757991467679,17.213647242946
2021-03-14 00:00:00+00:00,eth,588107,215625919208.3919850501874184,424.3435589,50.375271225881,1874.14906195208,115052705.03073,1277890,4280392223.42905261741907614792,17.207337337196
2021-03-15 00:00:00+00:00,eth,594607,206762944415.3728211366786701,419.39736655,23.612679245878,1796.90510976037,115066145.28073,1321388,8756437262.47067162402068013014,17.220511620131
2021-03-16 00:00:00+00:00,eth,589999,206792698648.6768768567380503,428.0423862,28.471833235047,1796.95172822911,115079718.28073,1308992,7263062302.3643238383391306598,17.192431275126
2021-03-17 00:00:00+00:00,eth,570729,209339375192.3349183103534406,430.27462401,31.926222325628,1818.86739976622,115093258.15573,1272298,6556972918.912893963342164588494,17.19402019198
2021-03-18 00:00:00+00:00,eth,595484,205079460267.1767227433544221,425.92958927,33.500710782391,1781.64520666277,115106789.78073,1299760,6121645048.049979626280480153131,17.201571565175
2021-03-19 00:00:00+00:00,eth,596157,208410812272.5140866008159945,433.08878609,33.380827406581,1810.37383459965,115120318.40573,1291231,6243428592.52880509252475100135,17.200709636498
2021-03-20 00:00:00+00:00,eth,580711,208708414792.5178962995458999,443.41544638,47.872107902587,1812.74496884863,115133909.28073,1262309,4359708062.515438598125588288662,17.188081359815
2021-03-21 00:00:00+00:00,eth,588077,205506291532.1889210102096783,437.12551252,42.494655427928,1784.72563880771,115147273.65573,1206064,4836050309.44970584744536703698,17.203969335634
2021-03-22 00:00:00+00:00,eth,571996,194519667400.1021835359517003,433.83155339,32.761708916558,1689.11376779661,115160784.96823,1307460,5937409061.765723325851097620916,17.225412326891
2021-03-23 00:00:00+00:00,eth,602865,192542945083.1566183008870021,438.25751763,28.456474748399,1671.75213500877,115174337.78073,1298959,6766226202.843063080330373235122,17.25063250289
2021-03-24 00:00:00+00:00,eth,600217,182789588504.4638169425768145,435.96084497,34.418431886596,1586.88241320865,115187859.53073,1309468,5310805242.572613966988564400605,17.239450826275
2021-03-25 00:00:00+00:00,eth,633758,183047211490.7120378980685157,446.99377994,22.256975852372,1588.93212396259,115201403.96823,1349663,8224262483.13527683983609963137,17.270650676368
2021-03-26 00:00:00+00:00,eth,585052,195366502669.0226931647941936,457.8712416,27.926569122068,1695.66907773232,115214994.03073,1265836,6995721594.55269946701537687752,17.29895557969
2021-03-27 00:00:00+00:00,eth,587024,197976262837.729924610460216,453.05299075,44.376034926404,1718.1190917592,115228486.65573,1230764,4461332860.54205392822614160856,17.310589804915
2021-03-28 00:00:00+00:00,eth,574675,194201482642.2446464438315734,456.8606684,53.302579360893,1685.16250900058,115241990.96823,1211918,3643378706.44820011981981248594,17.313943904076
2021-03-29 00:00:00+00:00,eth,577924,208744323029.582171721858064,465.36069058,26.110198425639,1811.1432226768,115255558.15573,1269901,7994742882.7124098214232810464,17.352114341806
2021-03-30 00:00:00+00:00,eth,576687,212195947097.0788370039724723,464.73297163,28.71637204998,1840.87399678551,115269131.65573,1300973,7389371705.02449680667739833864,17.376068155356
2021-03-31 00:00:00+00:00,eth,607390,220982847396.4371149577085881,460.94919808,23.901532550349,1916.88001928697,115282566.03073,1354603,9245551385.91775565443906104105,17.409112677616
2021-04-01 00:00:00+00:00,eth,652694,227276354248.1594699390620017,468.39945627,29.988332737458,1971.24078258329,115296089.78073,1368006,7578825946.674653985659381362626,17.43597305966
2021-04-02 00:00:00+00:00,eth,660375,246078442166.1422548324407529,469.77835637,15.250898307394,2134.06883985973,115309514.65573,1358619,16135340830.83050378805868622643,17.507057262479
2021-04-03 00:00:00+00:00,eth,602032,233546432255.5398817404388718,472.51462173,20.032480930359,2025.14887843366,115323092.90573,1293333,11658387848.58667216356655495256,17.559989203451
2021-04-04 00:00:00+00:00,eth,600579,239600021274.1740953555228021,483.42363867,38.939937128677,2077.39558153127,115336733.84323,1197875,6153066464.448003391455068143239,17.58390615268
2021-04-05 00:00:00+00:00,eth,617293,242181026437.4781854505515115,492.8833312,18.511587746801,2099.52728872005,115350263.71823,1296946,13082671770.24433498311878138805,17.651612532295
2021-04-06 00:00:00+00:00,eth,621029,244213705737.6222319939707796,485.31986605,20.032824403415,2116.90126201052,115363767.84323,1335799,12190677700.743446513283211398,17.696901531471
2021-04-07 00:00:00+00:00,eth,615252,229069882928.3973105750920972,498.88470787,6.283223809576,1985.39789129164,115377317.53073,1312638,36457380776.29327421763972713728,17.958376822759
2021-04-08 00:00:00+00:00,eth,625726,239845561944.2182445360057397,495.23828243,31.46232648899,2078.55003594389,115390805.03073,1284449,7623262126.79000941024695809818,17.982019883848
2021-04-09 00:00:00+00:00,eth,607159,238431251147.0455041658983661,491.754257,33.248008977371,2066.05360420807,115404194.09323,1300882,7171294115.967272888311452175648,18.003134082316
2021-04-10 00:00:00+00:00,eth,688534,245861629814.0504283605953161,498.24735293,31.271043805151,2130.18779029807,115417819.46823,1315016,7862277682.38282184105812232783,18.015642521788
2021-04-11 00:00:00+00:00,eth,649887,247527882407.2759421102629375,489.6763015,46.307851549006,2144.37211630625,115431403.21823,1256904,5345268116.0413602269050050375,18.03268453949
2021-04-12 00:00:00+00:00,eth,649920,247378816146.0744007843076547,516.42576558,32.898692214688,2142.82890011689,115444969.09323,1347983,7519411851.746105108128897747386,18.059846101002
2021-04-13 00:00:00+00:00,eth,641476,265311012016.4463954700238907,512.91157886,24.591788516578,2297.89169135009,115458449.59323,1350467,10788601725.23023397890141625053,18.09092940832
2021-04-14 00:00:00+00:00,eth,662089,280631198940.4492133324242941,511.04272052,23.450580821832,2430.29892869667,115471885.21823,1386341,11966918903.73941575016683362024,18.130594080191
2021-04-15 00:00:00+00:00,eth,605799,290974868301.8915080478647187,513.49266402,34.938184522864,2519.58225540619,115485361.78073,1197340,8328276705.719286301257990939455,18.153095998772
2021-04-16 00:00:00+00:00,eth,681905,280471732562.2167489722131391,491.60603111,25.188659818858,2428.35284687317,115498755.84323,1426977,11134841415.90703241207059315335,18.174098237639
2021-04-17 00:00:00+00:00,eth,692901,270548139870.6947615881260141,499.80973283,34.699218068582,2342.16061426067,115512206.21823,1453000,7796952062.03097928101190937874,18.192757280051
2021-04-18 00:00:00+00:00,eth,673448,259179988021.6955766633699595,507.62730894,17.238495395506,2243.48254529515,115525743.03073,1396766,15034954157.8474871286934780015,18.25504998493
2021-04-19 00:00:00+00:00,eth,716119,250560894838.451797380436155,488.51134247,26.786109361405,2168.6250818235,115539056.03073,1476842,9354135438.55223893844208486,18.285682398803
2021-04-20 00:00:00+00:00,eth,767283,269065183033.9486988193129028,507.70983399,30.203598903902,2328.50510870836,115552756.15573,1555560,8908381543.86910396744361101644,18.300728215934
2021-04-21 00:00:00+00:00,eth,771703,273198256978.2833497653411554,517.42785482,26.634050195355,2363.99523424898,115566331.53073,1565355,10257480742.67456613728013528776,18.324159180222
2021-04-22 00:00:00+00:00,eth,768202,279668865672.6516130648184681,513.73913411,18.007130916918,2419.70522676797,115579725.40573,1577266,15531006408.68366085085850972691,18.372413576392
2021-04-23 00:00:00+00:00,eth,755129,272467575525.2045495229851616,514.73035113,18.363298682346,2357.12506639392,115593177.21823,1537100,14837616064.43582664791031918336,18.423679456264
2021-04-24 00:00:00+00:00,eth,900893,258564440020.3440672476307257,517.11741368,40.217717890536,2236.58652717709,115606723.40573,1389103,6429117652.177576544099875985208,18.4229370833
2021-04-25 00:00:00+00:00,eth,905234,265990952570.6167255359070901,534.19451859,32.589298858239,2300.55654880187,115620262.71823,1389350,8161910869.19847780498036416928,18.456474347254
2021-04-26 00:00:00+00:00,eth,748796,292097657821.7137241295768276,537.08753362,22.94934629944,2526.05887901812,115633748.78073,1448466,12727929327.9407080101646690575,18.51023414154
2021-04-27 00:00:00+00:00,eth,766759,306042981828.6309216299710015,533.76416906,22.422496269199,2646.34933898305,115647234.21823,1448293,13648925532.3921242552219433426,18.563267694198
2021-04-28 00:00:00+00:00,eth,736099,316937218930.9912368070822647,545.75144934,22.478210420681,2740.23064289889,115660781.96823,1517604,14099753183.17103058957764778666,18.613289905579
2021-04-29 00:00:00+00:00,eth,734353,319319623404.8617119731205786,544.58643431,23.957439251316,2760.50726008182,115674255.96823,1530717,13328620811.89752330295470829638,18.644848288788
2021-04-30 00:00:00+00:00,eth,720859,320488373921.4619458003721711,542.41825376,22.059012064829,2770.29005821157,115687659.84323,1441230,14528682108.68095821630094814056,18.681775237076
2021-05-01 00:00:00+00:00,eth,808667,341239720548.1778218787248061,545.67770939,28.368511658141,2949.31864056107,115701204.96823,1427568,12028820005.09359951104764088531,18.721021334341
2021-05-02 00:00:00+00:00,eth,772483,341644766468.0738805435417741,544.03453728,36.846449752663,2952.47679661017,115714632.15573,1417458,9272121704.02870926310911946032,18.7605142501
2021-05-03 00:00:00+00:00,eth,773107,397022679801.6728491203944083,547.76410227,18.882297702258,3430.64827410871,115728179.65573,1488804,21026184739.91137378611722014732,18.827516642632
2021-05-04 00:00:00+00:00,eth,786367,379041514762.6571769430402347,563.20951663,17.12133940591,3274.89152846289,115741700.59323,1536119,22138543356.70867921705552521006,18.890156912677
2021-05-05 00:00:00+00:00,eth,789933,408144295381.2857221389914109,557.79848389,22.533844661316,3525.92409964933,115755269.78073,1518877,18112501506.764746243101075488375,18.93862490833
2021-05-06 00:00:00+00:00,eth,773968,405253435916.4330961791489179,570.10566701,23.774012127981,3500.54310403273,115768731.84323,1532197,17046068359.63841929695838035025,18.975360982531
2021-05-07 00:00:00+00:00,eth,756547,403226735702.2348000527762029,553.89241209,20.968250352634,3482.63239333723,115782169.96823,1527890,19230347259.35461252753485814492,19.01196752922
2021-05-08 00:00:00+00:00,eth,847017,450070687070.4795745128984944,567.8605115,4.135387084167,3886.76699649328,115795643.90573,1710882,108833992540.5362762076145267744,19.349402785003
2021-05-09 00:00:00+00:00,eth,894748,453517845754.1314261273549395,576.39783778,27.035389620534,3916.08141320865,115809095.34323,1716600,16774969849.5070452147649926993,19.386544562513
2021-05-10 00:00:00+00:00,eth,857448,457995692214.1881852922130385,575.90845624,18.45767818234,3954.28315780245,115822684.90573,1716489,24813288415.24574451360134830305,19.419877847536
2021-05-11 00:00:00+00:00,eth,868387,481388600303.5072295829897237,575.69888958,19.082307061438,4155.77199766219,115836143.21823,1716051,25226960175.91592100324890167917,19.459680084307
2021-05-12 00:00:00+00:00,eth,842506,460560266540.4112248955393012,576.52929334,19.426709960542,3975.50227118644,115849579.53073,1624077,23707579280.06630317234710822284,19.500028396784
2021-05-13 00:00:00+00:00,eth,883375,427206186463.1213131455016455,589.01110849,15.514301794778,3687.15909000585,115863236.71823,1588560,27536281820.10277952866138736025,19.556875376929
2021-05-14 00:00:00+00:00,eth,809164,473554590654.4991111839115179,591.25717482,27.715524850843,4086.70976446523,115876736.53073,1531689,17086257366.69365368598546760972,19.577326670122
2021-05-15 00:00:00+00:00,eth,771604,425618801171.9828446009604505,583.08935831,34.929433696913,3672.60174400935,115890268.21823,1472680,12185104541.49141446474926841448,19.595381142085
2021-05-16 00:00:00+00:00,eth,749768,413294498967.8196951337987293,601.33712435,26.964605271944,3565.84300116891,115903728.46823,1425115,15327296461.40389299058536066756,19.637202519903
2021-05-17 00:00:00+00:00,eth,729765,380211788103.6747759901223124,583.56577362,18.835681391303,3280.03027819988,115917158.03073,1446627,20185719868.84578774186145860228,19.693335184544
2021-05-18 00:00:00+00:00,eth,690475,390482238053.9187585093212423,598.86246674,27.142563354472,3368.23962887201,115930658.46823,1425053,14386343432.42972482877664402746,19.718448265246
2021-05-19 00:00:00+00:00,eth,795909,294003686331.7096014542675394,601.04117361,8.154953695455,2535.73623553478,115944112.09323,1461174,36052158885.41072088386153806206,19.873486301017
2021-05-20 00:00:00+00:00,eth,766729,322121691626.4165777357130908,610.97949292,11.27084382815,2777.92518293396,115957655.59323,1459146,28580086507.974928636828717311,19.97528929018
2021-05-21 00:00:00+00:00,eth,700299,279952270727.2266104804244831,592.28389924,14.699535252095,2413.98438398597,115971036.34323,1367394,19044974274.77059116489531098656,20.052197556765
2021-05-22 00:00:00+00:00,eth,689227,269181825829.5552459964830981,591.81029567,21.59796987099,2320.84220163647,115984544.59323,1283663,12463292959.35866961441187485911,20.095881780852
2021-05-23 00:00:00+00:00,eth,753755,244245212791.9617785649147855,585.791697,11.695292441778,2105.59847983635,115998000.15573,1264253,20884062028.19367710995728772935,20.201836767648
2021-05-24 00:00:00+00:00,eth,696056,304665762380.6755135827623853,581.80271206,13.614073624588,2626.16846405611,116011507.46823,1312739,22378736209.44914722374714583774,20.313888905934
2021-05-25 00:00:00+00:00,eth,655006,312870946559.488859751942204,579.44268645,16.338475436105,2696.5863798948,116024818.96823,1289446,19149335431.144589423671820343,20.410637494961
2021-05-26 00:00:00+00:00,eth,687683,332881080273.5632466082140856,579.36632379,18.303529137207,2868.71953185272,116038210.28073,1326432,18186715675.33362051718119896712,20.484515797756
2021-05-27 00:00:00+00:00,eth,723157,318341504471.2489998143805183,573.5019441,20.225251890882,2743.10334950321,116051589.71823,1291385,15739804190.75854093288515677306,20.550379357594
2021-05-28 00:00:00+00:00,eth,646541,280332334755.2359894755096513,571.24641438,19.222239634765,2415.30300233781,116065079.40573,1305078,14583749868.99229681333572176994,20.629690259917
2021-05-29 00:00:00+00:00,eth,798571,265687460591.5910944289673715,567.54361217,20.831759014629,2288.85813150205,116078605.71823,1293425,12753961890.83307481518927088315,20.701034052124
2021-05-30 00:00:00+00:00,eth,736524,277658738969.7621562186594425,574.04441024,25.100627364359,2391.71209117475,116092041.34323,1280282,11061824668.3355918701366516555,20.761088536459
2021-05-31 00:00:00+00:00,eth,736541,313393461758.5947444088913976,569.66749498,30.725365581751,2699.21445762712,116105432.40573,1297889,10199828572.413542452730524077496,20.8083393948
2021-06-01 00:00:00+00:00,eth,680280,304951619937.3480425645563166,560.15974214,24.458356786178,2626.20154821742,116118894.28073,1274354,12468197377.41697469174787143704,20.862329222364
2021-06-02 00:00:00+00:00,eth,650349,315085942974.527089284700605,570.47279616,29.220200231978,2713.1598679135,116132464.84323,1314178,10783154820.058393833741717623,20.889428622922
2021-06-03 00:00:00+00:00,eth,687298,332014613003.4014019208142472,569.889071,30.724880144196,2858.60099824664,116145839.59323,1337711,10806050713.46792170456298195704,20.928747183796
2021-06-04 00:00:00+00:00,eth,713691,312384988909.1042554958302091,584.27111373,28.799178835996,2689.27742548217,116159450.84323,1301803,10847010280.676879736344160606609,20.979492427103
2021-06-05 00:00:00+00:00,eth,829614,302626740403.9037474734387563,585.2283072,40.470255059857,2604.97053763881,116172807.34323,1176676,7477757181.32517742562910466803,21.021683893309
2021-06-06 00:00:00+00:00,eth,809211,314411835453.4559127613329981,591.30271978,55.046083287589,2706.09854120397,116186395.53073,1134526,5711793040.947308243545472491449,21.057364176232
2021-06-07 00:00:00+00:00,eth,657176,302137965637.2738522335194084,587.58137089,31.0076922776,2600.15911221508,116199798.78073,1225549,9743968139.65872641854834885366,21.113597528351
2021-06-08 00:00:00+00:00,eth,616660,292747938419.2587086002969227,591.80990732,20.757543147445,2519.05763530099,116213275.28073,1221063,14103207510.62965707293039135312,21.185795420047
